Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
7/4/2023,"1,921.78","1,930.84","1,919.90","1,925.09","1,925.09","1,919.40","1,931.09","1,910.10","1,908.53","1,922.90","1,900.56"
7/3/2023,"1,919.40","1,931.09","1,910.10","1,921.43","1,921.43","1,908.53","1,922.90","1,900.56","1,908.80","1,913.15","1,893.01"
6/30/2023,"1,908.53","1,922.90","1,900.56","1,919.57","1,919.57","1,908.80","1,913.15","1,893.01","1,913.59","1,917.24","1,902.84"
6/29/2023,"1,908.80","1,913.15","1,893.01","1,908.15","1,908.15","1,913.59","1,917.24","1,902.84","1,923.21","1,930.85","1,911.19"
6/28/2023,"1,913.59","1,917.24","1,902.84","1,907.42","1,907.42","1,923.21","1,930.85","1,911.19","1,924.30","1,933.48","1,921.59"
6/27/2023,"1,923.21","1,930.85","1,911.19","1,913.35","1,913.35","1,924.30","1,933.48","1,921.59","1,913.80","1,937.10","1,910.24"
6/26/2023,"1,924.30","1,933.48","1,921.59","1,922.85","1,922.85","1,913.80","1,937.10","1,910.24","1,932.09","1,935.00","1,912.34"
6/23/2023,"1,913.80","1,937.10","1,910.24","1,921.36","1,921.36","1,932.09","1,935.00","1,912.34","1,935.42","1,939.55","1,919.34"
6/22/2023,"1,932.09","1,935.00","1,912.34","1,913.52","1,913.52","1,935.42","1,939.55","1,919.34","1,950.90","1,956.87","1,929.77"
6/21/2023,"1,935.42","1,939.55","1,919.34","1,932.26","1,932.26","1,950.90","1,956.87","1,929.77","1,957.99","1,958.93","1,947.80"
6/20/2023,"1,950.90","1,956.87","1,929.77","1,935.91","1,935.91","1,957.99","1,958.93","1,947.80","1,957.68","1,968.00","1,953.42"
6/19/2023,"1,957.99","1,958.93","1,947.80","1,950.12","1,950.12","1,957.68","1,968.00","1,953.42","1,943.44","1,960.34","1,925.30"
